FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent,pop
26159,0.6,5.3,24.7,90.4,60.6,45077,646,76258
26161,0.6,9.9,20,76.6,65.6,57548,893,344791
26163,0.9,5,25,85.4,58.7,40123,781,1820584
26165,0.7,4.3,23.2,84.5,58.4,38608,649,32735
28047,0.8,5.6,25.9,79.1,65.3,41283,838,187105
29047,0.6,4.9,25.9,84.7,71.5,59095,794,221939
29095,0.7,6.5,24.1,83.2,66.7,45577,783,674158
29097,0.5,7,22.6,82.9,65.2,38861,637,117404
29105,0.6,5.3,19.9,83.8,60.2,40391,584,35571
29117,0.4,,,,,,,15195
29183,0.7,3.7,23.4,89.2,71.8,68935,855,360485
30001,0.4,,,,,,,9246
30003,0.6,,,,,,,12865
30005,0.4,,,,,,,6491
30009,0.5,,,,,,,10078
30013,0.5,4.8,27,81.5,63.4,44116,616,81327
30015,0.5,,,,,,,5813
30017,0.5,,,,,,,11699
30027,0.5,,,,,,,11586
30029,0.6,5.7,24.8,90.8,64.7,44734,749,90928
30031,0.3,10.5,23.7,75.1,71.2,51911,823,89513
30035,0.4,,,,,,,13399
30041,0.4,,,,,,,16096
30043,0.4,,,,,,,11406
30047,0.6,5.9,26.5,83,58.6,36138,596,28746
30049,0.5,6.1,24.8,84.7,68.3,54139,692,63395
30053,0.6,,,,,,,19687
30057,0.4,,,,,,,7691
30063,0.4,10.4,23.3,76.9,70.2,45054,743,109299
30065,0.6,,,,,,,4538
30067,0.5,,,,,,,15636
30071,0.5,,,,,,,4253
30077,0.3,,,,,,,7027
30081,0.7,4,26.7,85.4,57.6,38110,662,40212
30085,0.3,,,,,,,10425
30087,0.4,,,,,,,9233
30089,0.6,,,,,,,11413
30095,0.4,,,,,,,9117
30099,0.5,,,,,,,6073
30105,0.6,,,,,,,7369
30111,0.5,6.1,25.9,83.7,68.5,50000,696,147972
31001,0.4,6.7,26.1,80.5,68.6,45879,609,31364
31025,0.4,3.6,27.2,91.1,69,61515,722,25241
31031,0.4,,,,,,,5713
31053,0.4,5.1,21.5,83.9,68.7,44454,644,36691
31055,0.5,6.6,24.1,81.9,72.2,52428,780,517110
31067,0.3,4.7,21.2,89.4,66,48338,552,22311
31081,0.3,,,,,,,9124
31101,0.4,,,,,,,8368
31111,0.4,3.9,28.1,86.4,66.5,47633,572,36288
31119,0.3,4.2,23,83.1,70.4,45904,602,34876
31121,0.4,,,,,,,7845
31125,0.4,,,,,,,3735
31127,0.2,,,,,,,7248
31141,0.3,4,28,88.5,74.4,53582,606,32237
31153,0.5,3.7,26.1,82.8,76.4,67694,843,158840
31177,0.3,2.6,21.8,91.1,69.5,71505,703,20234
33001,0.9,5.1,20.2,89.4,65.7,58047,889,60088
33003,0.7,4.7,20.4,88.8,60.7,50335,905,47818
33005,0.8,8.2,18.6,83.4,67.4,54921,943,77117
33007,0.8,5.9,19.1,86.4,59.1,39246,650,33055
33009,0.6,7.2,17.1,84.5,63.5,52839,892,89118
33011,0.9,5.9,18.4,86.4,71.7,69395,1028,400721
33013,0.8,6.7,19.4,86.6,67.7,63357,899,146445
33015,1,5,18.7,89.7,72.7,77813,1062,295223
33017,0.7,8.7,19.3,79.1,69.1,55196,943,123143
33019,0.8,5.8,18.8,87.6,66.3,55173,860,43742
38015,0.3,5.9,21.6,83.6,72.5,60214,663,81308
38017,0.3,8.5,25.1,77.1,77.4,52416,657,149778
38035,0.3,9.9,24.2,77.1,71.4,44707,671,66861
38041,0.6,,,,,,,2477
38049,0.5,,,,,,,5395
38059,0.3,5.1,23.2,85.3,73.7,56241,678,27471
38061,0.4,,,,,,,7673
38063,0.5,,,,,,,3126
38067,0.3,,,,,,,7413
38077,0.3,,,,,,,16321
38079,0.4,,,,,,,13937
38081,0.4,,,,,,,3829
38093,0.3,4.9,17.3,86.2,66.9,48881,543,21100
38101,0.3,6.4,27,77.5,73,54324,688,61675
38105,0.4,7.4,26.9,78.3,71,76206,669,22398
39001,0.6,3.8,16.6,87.7,55.3,33893,530,28550
39005,0.6,4.1,15.5,86.2,63,43368,659,53139
39009,0.4,15.7,18.8,69.2,54.6,34705,675,64757
39013,0.9,3.8,19,89.2,56.8,42254,520,70400
39015,0.7,4.9,15.6,88.8,58.6,43439,666,44846
39017,0.7,5.6,20.2,85,66.5,55895,789,368130
39021,0.5,4.2,20.2,84.2,62.1,47947,660,40097
39023,0.7,6.2,23.3,85.1,59.7,41235,658,138333
39025,0.7,4.6,18.9,89.5,66.4,56530,759,197363
39027,0.7,5.6,21.4,85.1,62.9,42269,668,42040
39029,0.7,4.7,17.9,87,59.4,41930,583,107841
39031,0.6,4.8,17,88.1,58,41125,571,36901
39035,0.9,4.8,22.3,85.3,63.5,42500,722,1280122
39039,0.5,5.6,21.4,85.4,64.6,46467,637,39037
39041,0.6,3,18.2,88.3,70.7,87890,858,174214
39043,0.6,4.8,20.9,86.3,63.3,45870,686,77079
39045,0.6,4.2,21.4,85.1,66.2,60375,773,146156
39047,0.6,6.5,18,84.8,61.5,37753,698,29030
39049,0.6,8.2,21,80,69.3,49670,800,1163414
39051,0.5,3.6,21.6,88.3,67.2,51644,671,42698
39053,0.6,4.8,18.9,88.4,52.6,37830,584,30934
39057,0.6,5,21.2,86.2,62.7,55153,825,161573
39059,0.7,4.6,20.1,87.9,58.1,38102,576,40087
39061,0.6,6.2,20.5,83.3,66,47643,692,802374
39063,0.4,6.3,21.2,84.2,67.8,49400,659,74782
39065,0.4,5.3,15.9,84.2,60.3,41367,628,32058
39069,0.4,3.9,20.1,89.8,65,48576,669,28215
39071,0.7,5,20.2,84.3,58.3,38198,611,43589
39073,0.6,5.1,18.3,88.3,58,40981,555,29380
39081,0.8,4.3,18.3,90.6,55.2,41095,600,69709
39087,0.7,4.3,18.3,87.7,53.4,40232,620,62450
39089,0.6,4.9,21.6,86.6,66.7,53984,728,166492
39091,0.5,5.2,16.2,86.6,61.7,44853,676,45858
39093,0.7,4.5,23.1,86.1,63.3,50230,726,301356
39095,0.6,6.2,23.8,83.2,63.8,40416,646,441815
39097,0.5,4.3,21.7,85.8,58.9,55121,736,43435
39099,1,4.5,21.7,89,59.2,40005,619,238823
39101,0.6,5.8,22.1,80.8,53.4,41222,688,66501
39103,0.8,3.8,22.4,89.8,68.3,63609,813,172332
39109,0.6,4.9,20.7,85.1,65.1,50594,700,102506
39111,0.6,,,,,,,14642
39113,0.7,5.3,24.9,82.3,61.6,42100,710,535153
39117,0.8,4.2,21.1,89.5,63.7,51623,698,34827
39119,0.6,6.4,20.2,86.2,61,39829,622,86074
39125,0.4,,,,,,,19614
39129,0.6,5.7,18.5,84,58.7,54294,722,55698
39131,0.6,4.7,14.4,85.4,54,35939,652,28709
39133,0.7,7.8,20.3,83.2,67,51201,775,161419
39135,0.7,4.2,21.7,86.8,64.3,47757,713,42270
39139,0.6,4.8,21.4,85.3,57.7,41697,614,124475
